doc_id,doc_text
d_000812,sustainable
d_000813,suu kyi
d_000814,sweden's
d_000815,system
d_000816,systematic doping
d_000817,tangible
d_000818,tar sands
d_000819,tax
d_000820,tax credits
d_000821,tax policy
d_000822,tax reform act
d_000823,tax revenues
d_000824,tcp
d_000825,tea party movement
d_000826,technology
d_000827,telomerase
d_000828,terms and conditions
d_000829,tertiary
d_000830,test results
d_000831,thein sein
d_000832,theological noncognitivism
d_000833,threat
d_000834,tobacco consumption
d_000835,tobacco product
d_000836,toomey
d_000837,total population
d_000838,township
d_000839,trades unions
d_000840,transparency
d_000841,treatment
d_000842,trident
d_000843,trimester
d_000844,troika
d_000845,troops
d_000846,tropical
d_000847,type of tobacco
d_000848,u.s
d_000849,u.s economy
d_000850,uigea
d_000851,ultrasound
d_000852,unable to continue
d_000853,unconventional oil
d_000854,union density
d_000855,union movement
d_000856,united nations population
d_000857,united states
d_000858,universities
d_000859,unskilled workers
d_000860,uranium enrichment
d_000861,urban areas
d_000862,urban population
d_000863,us
d_000864,usa patriot act
d_000865,user
d_000866,users
d_000867,ussr
d_000868,uterus
d_000869,vatican city
d_000870,video game play
d_000871,video game sales
d_000872,violent acts
d_000873,violent behavior
d_000874,violent content
d_000875,violent video games
d_000876,volcano
d_000877,volunteer
d_000878,voted
d_000879,voter intimidation
d_000880,voters
d_000881,voting methods
d_000882,voting system criteria
d_000883,voucher scheme
d_000884,voucher system
d_000885,wagering
d_000886,wages
d_000887,walney wind farm
d_000888,war documents leak
d_000889,war logs
d_000890,warheads
d_000891,water
d_000892,web companies
d_000893,week in september
d_000894,week of march
d_000895,whistleblower
d_000896,widespread corruption
d_000897,wikileaks documents
d_000898,wikileaks released
d_000899,win
d_000900,wind energy association
d_000901,wind energy policy
d_000902,wind energy projects
d_000903,wind power
d_000904,wind speed
d_000905,winning numbers
d_000906,winnings
d_000907,wipo
d_000908,won
d_000909,work
d_000910,working
d_000911,world war ii
d_000912,world youth day
d_000913,year bonds
d_000914,year round schooling
d_000915,yield
d_000916,york
d_000917,young
d_000918,young men
d_000919,younger adults
d_000920,youth
d_000921,youtube
