query_id,query_text
q_000178,bribery
q_000179,bribes
q_000180,british american tobacco
q_000181,british monarch
q_000182,british nationality act
q_000183,buchanan and tullock
q_000184,buddhist monks
q_000185,budget
q_000186,budget deficit
q_000187,burma
q_000188,burma campaign uk
q_000189,burma's
q_000190,burmese
q_000191,burmese government
q_000192,burmese military junta
q_000193,burmese military regime
q_000194,bush tax cuts
q_000195,business
q_000196,calendar based methods
q_000197,canada
q_000198,canadian human rights
q_000199,canadian oil sands
q_000200,canadian unemployment rate
q_000201,cancer
q_000202,candidate
q_000203,candidate is eliminated
q_000204,candidate or party
q_000205,candidates
q_000206,capabilities approach
q_000207,capacity
q_000208,capacity credit
q_000209,capacity factor
q_000210,cape wind project
q_000211,capital gains
q_000212,capital gains taxes
q_000213,capitalism
q_000214,capitol hill
q_000215,carbon dioxide
q_000216,card
q_000217,cardinal
q_000218,care
q_000219,care penalty
q_000220,care work
q_000221,case
q_000222,casework
q_000223,casino
q_000224,casinos
q_000225,cast
q_000226,catholic
q_000227,catholic church
q_000228,ccp
q_000229,cd
q_000230,cell
q_000231,cellphones
q_000232,censor
q_000233,censored
q_000234,censorship
q_000235,central intelligence agency
q_000236,chabot
q_000237,chair
q_000238,chance
q_000239,chance of winning
q_000240,character
q_000241,charter
q_000242,charter school
q_000243,charter school law
q_000244,charter school students
q_000245,charter schools
q_000246,chief immigration officer
q_000247,child
q_000248,child labour
q_000249,child maltreatment
q_000250,childcare voucher scheme
q_000251,children
q_000252,children per woman
q_000253,china
q_000254,china and india
q_000255,chinese
q_000256,chinese authorities
q_000257,chinese government
q_000258,chinese internet
q_000259,chrc
q_000260,christmas and easter
q_000261,christmas holiday
q_000262,christopher hitchens
q_000263,chromosomes
q_000264,church
q_000265,church of england
q_000266,church's
q_000267,cigar
q_000268,cigar smokers
q_000269,cigar smoking
q_000270,cigarette
q_000271,cigarettes
q_000272,cigars
q_000273,city of redlands
q_000274,civil
q_000275,civil rights
q_000276,civil service
q_000277,civilian service
q_000278,classical education
q_000279,classification
q_000280,classification board
q_000281,classified
q_000282,classified information
q_000283,classroom
q_000284,cleavage stage biopsy
q_000285,coarse language
q_000286,code
q_000287,codes of conduct
q_000288,cognatic primogeniture
q_000289,cold war
q_000290,collective
q_000291,collective action clause
q_000292,collective bargaining
q_000293,college or university
q_000294,color blindness
q_000295,color religion sex
q_000296,columbine high school
q_000297,commercial casinos
q_000298,commissioner for refugees
q_000299,committee
q_000300,committee for refugees
q_000301,common heritage
q_000302,commonwealth of nations
q_000303,commonwealth realms
q_000304,companies
q_000305,comprehensive sex education
q_000306,compressor stations
q_000307,compulsory
q_000308,compulsory education
q_000309,compulsory sterilization programs
q_000310,computer games
q_000311,computer information
q_000312,computer mediated
q_000313,concept of god
q_000314,concussion
q_000315,concussions
q_000316,condom
q_000317,condoms
q_000318,condorcet methods
q_000319,condorcet winner
q_000320,conference on population
q_000321,confidence interval
q_000322,congress
q_000323,congress of industrial
q_000324,congressional budget office
q_000325,conscientious
q_000326,conscientious objection
q_000327,conscientious objectors
q_000328,conscript
q_000329,conscripted
q_000330,conscription
q_000331,conservation
q_000332,conservation biologists
q_000333,conservation biology
q_000334,consoles
q_000335,constitutional
q_000336,constitutional monarchies
q_000337,constitutional monarchy
q_000338,construction
q_000339,consumption
q_000340,contact between players
q_000341,contact sport
q_000342,contact sports
q_000343,content
q_000344,content rating
q_000345,contests the existence
q_000346,continent
q_000347,contraception
q_000348,contraceptives
q_000349,contractions
q_000350,controlled substances
q_000351,controlled substances act
q_000352,convention
q_000353,conventional crude oil
q_000354,conventions
q_000355,copeland lowery
q_000356,copyright
q_000357,copyright holder
q_000358,copyright law
q_000359,copyright laws
q_000360,copyright system
q_000361,copyrights
q_000362,coral reefs
q_000363,corporate
q_000364,corporate social responsibility
q_000365,corrupt
q_000366,corruption
q_000367,corruption in china
q_000368,corruption perceptions index
q_000369,cortex
q_000370,cosmological argument
q_000371,council of europe
q_000372,counted
q_000373,counter
q_000374,counter punch
q_000375,counter recruiters
q_000376,counter recruitment
q_000377,countries of origin
q_000378,countries under surveillance
q_000379,country of origin
q_000380,court
q_000381,court of appeals
q_000382,crackdown
q_000383,craft
q_000384,craft union
q_000385,craft unionism
q_000386,craft unions
q_000387,creator god
q_000388,criminal casework team
q_000389,criminalize
q_000390,criterion
q_000391,criticism of religion
q_000392,critics of religion
q_000393,crown
q_000394,crude oil
q_000395,csr
q_000396,csr policy
q_000397,cultural revolution
q_000398,curriculum
q_000399,cushing oklahoma
q_000400,cyber dissident
q_000401,cycling
q_000402,damage
q_000403,daniel dennett
q_000404,daniel domscheit berg
q_000405,dawkins
q_000406,day
q_000407,days or weeks
q_000408,dea
q_000409,debt
q_000410,debt crisis
q_000411,debt level
q_000412,debt restructure agreement
q_000413,debt swap
q_000414,debts
q_000415,decent work
q_000416,decline with age
q_000417,deep ecologists
q_000418,deep ecology
q_000419,defamation
q_000420,defamation laws
q_000421,defamatory
q_000422,defending state
q_000423,defending states
q_000424,defense appropriations subcommittee
q_000425,defensive style
q_000426,deferments
q_000427,deficit
q_000428,deficit reduction
q_000429,deficit spending
q_000430,defined benefit
q_000431,defined benefit pension
q_000432,defined benefit plan
q_000433,defined benefit plans
q_000434,defined contribution
q_000435,defined contribution plan
q_000436,defined contribution plans
q_000437,deities exist
q_000438,delegates
q_000439,deliberation
q_000440,dementia pugilistica
q_000441,democracy
q_000442,democratic national committee
q_000443,democratic party
q_000444,demographic
q_000445,department of education
q_000446,der spiegel
q_000447,desalination
q_000448,destruction of habitat
q_000449,deterrence
q_000450,developing nuclear weapons
q_000451,development party
q_000452,diagnosis
q_000453,differences
q_000454,difficult to prove
q_000455,direct lobbying
q_000456,directly or indirectly
q_000457,disclosure
q_000458,discourse of race
q_000459,discretionary spending
q_000460,discrimination
q_000461,discrimination against women
q_000462,discrimination in employment
q_000463,disease
q_000464,diseases
q_000465,disenfranchise
q_000466,disenfranchised
q_000467,disorders
q_000468,displaced people
q_000469,diversity
q_000470,divine
q_000471,dna
q_000472,documents
q_000473,domestic work
q_000474,donor eggs
q_000475,doping
q_000476,dprk
q_000477,draft
q_000478,draft dodgers
q_000479,draft law
q_000480,draft registration
q_000481,drafted
q_000482,draftees
q_000483,drug
q_000484,drug abuse
q_000485,drugs
q_000486,dsm iv tr
q_000487,duchess of cornwall
q_000488,duke of york
q_000489,early
q_000490,early july
q_000491,early september
q_000492,earmark
q_000493,earth
q_000494,east
q_000495,east antarctica
q_000496,east german
q_000497,east german athlete
q_000498,east germany
q_000499,easter holidays
q_000500,ecological
q_000501,ecologists
q_000502,ecology
q_000503,economic
q_000504,economic policy institute
q_000505,economic social
q_000506,economic success
q_000507,economics
q_000508,economist paul krugman
q_000509,economy
q_000510,ecosystem
q_000511,ecosystem services
q_000512,ecosystems
q_000513,education
q_000514,educational
q_000515,educational psychology
q_000516,edward viii
q_000517,effects
q_000518,effects of aging
q_000519,effects of smoking
q_000520,egg
q_000521,elected
q_000522,election
q_000523,election assistance commission
q_000524,election campaigns
q_000525,election fraud
q_000526,election results
q_000527,elections
q_000528,elective monarchies
q_000529,elective monarchy
q_000530,electoral
q_000531,electoral fraud
q_000532,electrical
q_000533,electricity
q_000534,electricity generation
q_000535,electricity production
q_000536,electronic voting machines
q_000537,eligible
q_000538,ellsberg and russo
q_000539,embezzlement
q_000540,embryo
q_000541,embryo transfer
q_000542,emotion
q_000543,employers
q_000544,employers and workers
q_000545,employment
q_000546,employment opportunity
q_000547,employment opportunity commission
q_000548,end
q_000549,end of june
q_000550,end of october
q_000551,endangered species act
q_000552,ends
q_000553,enemy at war
q_000554,energy
q_000555,energy policy act
q_000556,energy sources
q_000557,enforcement
q_000558,enforcement immigration officers
q_000559,england
q_000560,england and scotland
q_000561,enriched uranium
q_000562,entertainment software
q_000563,entertainment software rating
q_000564,environmental tobacco smoke
q_000565,equal
q_000566,equal employment opportunity
q_000567,equal opportunity
q_000568,equality
q_000569,equality of opportunity
q_000570,equality of outcome
q_000571,ericsson method
q_000572,esping andersen
q_000573,espionage
q_000574,espionage act
q_000575,eta
q_000576,ethnic minorities
q_000577,ethnicity
q_000578,eu blue card
q_000579,eugenic
q_000580,eugenics
q_000581,european central bank
q_000582,european monarchies
q_000583,eurozone
q_000584,evil
q_000585,evil and suffering
q_000586,evil exists
q_000587,exclusive
q_000588,exclusive rights
q_000589,executive branch
q_000590,exempt
q_000591,exhaustive ballot
q_000592,exist
q_000593,existence
q_000594,existence and nature
q_000595,existence of god
q_000596,existence of gods
q_000597,existence or nonexistence
q_000598,existing copyright law
q_000599,exit poll
q_000600,expedition
q_000601,explorer
q_000602,explosion
q_000603,expression
q_000604,extended arm
q_000605,extinct
q_000606,extinction
q_000607,extinction event
q_000608,extortion
q_000609,extraction
q_000610,face to face
q_000611,fair dealing
q_000612,fairness doctrine
q_000613,faith
q_000614,faith and reason
q_000615,false claims act
q_000616,false positive rate
q_000617,falun gong
q_000618,family
q_000619,family planning
q_000620,family planning programs
q_000621,family planning services
q_000622,farm
q_000623,fat man
q_000624,fear of isolation
q_000625,fear of persecution
q_000626,federal
q_000627,federal elections
q_000628,federal government
q_000629,federal migration service
q_000630,federal reserve
q_000631,federal wire act
q_000632,female
q_000633,female condom
q_000634,feminist
q_000635,feminist economics
q_000636,feminist economists
q_000637,feminist economists argue
q_000638,feminist economists claim
q_000639,fertility rate
q_000640,fighter
q_000641,fighters
q_000642,filtering
q_000643,financial
q_000644,first person shooter
q_000645,first sale doctrine
q_000646,fiscal
q_000647,fission
q_000648,fission chain reaction
q_000649,fist
q_000650,flights
q_000651,folbre
q_000652,foreign national
q_000653,foreign nationals
q_000654,form of government
q_000655,formal education
q_000656,formal statistical evidence
q_000657,forms of corruption
q_000658,forms of gambling
q_000659,forms of violence
q_000660,fossil
q_000661,fossil fuels
q_000662,fraud
q_000663,free burma coalition
q_000664,free speech
q_000665,free speech fight
q_000666,free speech fights
q_000667,free speech zones
q_000668,free to choose
q_000669,free will argument
q_000670,freedom
q_000671,freedom of association
q_000672,freedom of expression
q_000673,freedom of information
q_000674,freedom of press
q_000675,freedom of speech
q_000676,friedman
q_000677,funding of political
q_000678,fusion fuel
q_000679,future generations
q_000680,gam anon
q_000681,gamblers
q_000682,gambling
q_000683,gambling industry
q_000684,game
q_000685,game content rating
q_000686,gameplay
q_000687,games
q_000688,games of chance
q_000689,gaming
q_000690,gas chambers
q_000691,gas pipelines
q_000692,gdp
q_000693,gdp growth rates
q_000694,gender
q_000695,gender imbalance
q_000696,gene therapy
q_000697,general election
q_000698,generating
q_000699,generation
q_000700,genetic
q_000701,genetic diversity
q_000702,genetic resources
q_000703,genetic test
q_000704,genetic testing
q_000705,george w bush
q_000706,germany
q_000707,global network initiative
q_000708,gmail
q_000709,gmail accounts
q_000710,god
q_000711,god delusion
q_000712,god exists
q_000713,god's
q_000714,god's existence
q_000715,goidel
q_000716,golden shield project
q_000717,gompers
q_000718,gondwana
q_000719,good citizens
q_000720,good faith
q_000721,google
q_000722,google china
q_000723,google search
q_000724,google's search engine
q_000725,gove
q_000726,government deficit
q_000727,government jobs
q_000728,government spending
q_000729,governor
q_000730,governor general
q_000731,governor of alaska
q_000732,grace of god
q_000733,grand theft
q_000734,grand theft auto
q_000735,granted asylum
q_000736,grants in aid
q_000737,gravina island bridge
q_000738,great depression
q_000739,great firewall
q_000740,great recession
q_000741,greece
q_000742,greek
q_000743,greek debt
q_000744,greek government
q_000745,greek government bonds
q_000746,greek government debt
q_000747,greek governmental bonds
q_000748,greenhouse gas emissions
q_000749,greenhouse gases
q_000750,grid
q_000751,group of workers
q_000752,growth
q_000753,growth hormone
q_000754,grutter v bollinger
q_000755,grytviken
q_000756,guard position
q_000757,haaretz
q_000758,habitat
q_000759,habitat destruction
q_000760,habitat loss
q_000761,half term
q_000762,hall of fame
q_000763,hand
q_000764,harsh austerity
q_000765,hate speech
q_000766,head of state
q_000767,health care
q_000768,health care costs
q_000769,heavy water
q_000770,hereditary monarchy
q_000771,high school
q_000772,higher education
q_000773,higher wages
q_000774,highly enriched uranium
q_000775,hiring
q_000776,hiroshima and nagasaki
q_000777,hiv
q_000778,hiv and aids
q_000779,holidays
q_000780,holocaust
q_000781,holocaust denial
q_000782,holocaust deniers
q_000783,holy roman empire
q_000784,home
q_000785,home affairs
q_000786,home office
q_000787,home secretary
q_000788,hong kong
q_000789,hooks and uppercuts
q_000790,hormone
q_000791,hormones
q_000792,house and senate
q_000793,house appropriations committee
q_000794,house arrest
q_000795,house ethics committee
q_000796,house of representatives
q_000797,household
q_000798,houses of congress
q_000799,human
q_000800,human development index
q_000801,human genetic engineering
q_000802,human genome
q_000803,human growth hormone
q_000804,human knowledge
q_000805,human rights
q_000806,human rights abuses
q_000807,human rights held
q_000808,human rights organizations
q_000809,humanae vitae
q_000810,ibrahim gambari
q_000811,ice
q_000812,ice sheet
q_000813,ice shelf
q_000814,identification
q_000815,illegal
q_000816,illegal entrant
q_000817,illegal entrants
q_000818,illegal gambling
q_000819,illegal immigrants
q_000820,imf
q_000821,immigrants
q_000822,immigration
q_000823,immigration control
q_000824,immigration officers
q_000825,immigration service
q_000826,immigration service enforcement
q_000827,imminent lawless action
q_000828,income
q_000829,income tax
q_000830,income tax brackets
q_000831,income tax revenues
q_000832,index on censorship
q_000833,india and pakistan
q_000834,indiana
q_000835,individual income tax
q_000836,individuals with disabilities
q_000837,industrial
q_000838,industrial organizations
q_000839,industrial union
q_000840,industrial unionism
q_000841,industry
q_000842,infections
q_000843,influence the result
q_000844,information
q_000845,infringement
q_000846,injury
q_000847,innovation
q_000848,insects
q_000849,installed capacity
q_000850,instant runoff voting
q_000851,instructor
q_000852,intellectual
q_000853,intellectual property
q_000854,intellectual property law
q_000855,intellectual property laws
q_000856,intellectual property rights
q_000857,intelligence service
q_000858,intercourse
q_000859,intermittency
q_000860,internally displaced persons
q_000861,international
q_000862,international labour
q_000863,international labour conference
q_000864,international labour office
q_000865,international labour standards
q_000866,international law
q_000867,international levels
q_000868,international olympic committee
q_000869,international planned parenthood
q_000870,international refugee organization
q_000871,internet
q_000872,internet censorship
q_000873,internet gambling
q_000874,internet security
q_000875,internet users
q_000876,intimate partner violence
q_000877,invasive
q_000878,invasive procedure
q_000879,invasive species
q_000880,invasive test
q_000881,invasive testing
q_000882,ip address
q_000883,iran's nuclear program
q_000884,island
q_000885,isolation
q_000886,iucn red list
q_000887,ivf
q_000888,ivf success rates
q_000889,jim crow
q_000890,jim crow laws
q_000891,jobs
q_000892,jobs created
q_000893,jobs lost
q_000894,joe frazier
q_000895,john l sullivan
q_000896,john locke
q_000897,john mccain
q_000898,john paul
q_000899,john paul ii
q_000900,john paul ii's
q_000901,join a union
q_000902,joined the npt
q_000903,journal feminist economics
q_000904,julian assange
q_000905,july and august
q_000906,june
q_000907,junta
q_000908,jurisdictions
q_000909,justifications
q_000910,kachin state
q_000911,kenji nagai
q_000912,keystone pipeline
q_000913,keystone xl
q_000914,keystone xl pipeline
q_000915,keywords
q_000916,kickbacks
q_000917,kilotons of tnt
q_000918,kilowatt hour
q_000919,king
q_000920,king is dead
q_000921,kleptocracy
q_000922,knights of labor
q_000923,knocked
q_000924,knowledge
q_000925,kosher slaughter
q_000926,kutner and olson
q_000927,labor
q_000928,labor day
q_000929,labour
q_000930,labour market
q_000931,labour relations
q_000932,lan na
q_000933,largest wind farm
q_000934,las vegas
q_000935,late
q_000936,late july
q_000937,law convention
q_000938,law on refugees
q_000939,lead hand
q_000940,league
q_000941,league of nations
q_000942,leak
q_000943,learning
q_000944,leave
q_000945,left ventricle
q_000946,legal assistance
q_000947,legislation
q_000948,level playing field
q_000949,lever
q_000950,lewis
q_000951,libel
q_000952,liberal eugenics
q_000953,libertarian extension
q_000954,license
q_000955,life imprisonment
q_000956,light cigarettes
q_000957,line of succession
q_000958,liquid pipelines
q_000959,live birth
q_000960,live birth rate
q_000961,loan
q_000962,local officials
q_000963,local public schools
q_000964,local school district
q_000965,local school districts
q_000966,logrolling
q_000967,loss of biodiversity
q_000968,loss of consciousness
q_000969,lotteries
q_000970,lottery
q_000971,lottery ticket
q_000972,lotto
q_000973,low wages
q_000974,lowery
q_000975,lump sum
q_000976,lung cancer
q_000977,macau
q_000978,mainland china
q_000979,mainland chinese
q_000980,mainstream economics
q_000981,major league baseball
q_000982,majority of canadians
q_000983,majority of votes
q_000984,majority opinion
q_000985,mamluks
q_000986,manpower
q_000987,march or april
q_000988,margin of error
q_000989,marginal income tax
q_000990,market work
q_000991,marlboro
q_000992,mass extinction events
q_000993,master settlement agreement
q_000994,maternal
q_000995,maternal serum
q_000996,math
q_000997,mccain
q_000998,mccain's
q_000999,mcmurdo
q_001000,measures of aggression
q_001001,mechanism
q_001002,media
q_001003,media violence
q_001004,median household income
q_001005,medicare
q_001006,medicare and medicaid
q_001007,meet this criterion
q_001008,members
q_001009,members of congress
q_001010,membership
q_001011,memory
q_001012,memory issues
q_001013,memory loss
q_001014,men
q_001015,men and women
q_001016,merit
q_001017,meritocratic
q_001018,metaphysical naturalism
q_001019,meteorites
q_001020,methodological naturalism
q_001021,mexican american
q_001022,mid june
q_001023,mid september
q_001024,mike tyson
q_001025,mild cognitive impairment
q_001026,mild head injury
q_001027,military
q_001028,military conscription
q_001029,military government
q_001030,military junta
q_001031,military recruitment
q_001032,military rulers
q_001033,military service
q_001034,military training
q_001035,million jobs
q_001036,million men
q_001037,million years
q_001038,million years ago
q_001039,mineral
q_001040,minister of finance
q_001041,minors
q_001042,misrepair
q_001043,missile
q_001044,mitchell report
q_001045,mixed martial arts
q_001046,mlb
q_001047,modern boxing
q_001048,modern patent
q_001049,modern symbolic prejudice
q_001050,monarch
q_001051,monarch's
q_001052,monarchies
q_001053,monarchs
q_001054,monarchy
q_001055,monetary
q_001056,money
q_001057,money laundering
q_001058,monks
q_001059,monks and civilians
q_001060,monopolies
q_001061,monopoly
q_001062,moral
q_001063,moral hazard
q_001064,morality
q_001065,mortgage
q_001066,motion involves lifting
q_001067,motor units
q_001068,mount erebus
q_001069,mountains
q_001070,muay thai
q_001071,muscle fibers
q_001072,mutually agreed terms
q_001073,mutually assured destruction
q_001074,myanmar
q_001075,nancy folbre
q_001076,nation of islam
q_001077,national democratic force
q_001078,national development party
q_001079,national football league
q_001080,national grid
q_001081,national intelligence estimate
q_001082,national origin
q_001083,national parks
q_001084,national renewable energy
q_001085,national security
q_001086,national wealth
q_001087,nationality
q_001088,nations
q_001089,nations high commissioner
q_001090,native
q_001091,native americans
q_001092,natural bitumen
q_001093,natural family planning
q_001094,natural gas
q_001095,natural habitat
q_001096,natural history
q_001097,natural resource management
q_001098,natural world
q_001099,nature of god
q_001100,nelson
q_001101,neoclassical economic
q_001102,neural tube defects
q_001103,nevada test site
q_001104,nfp
q_001105,nicotine
q_001106,nicotinic acetylcholine receptors
q_001107,nintendo
q_001108,nomination
q_001109,nonpartisan blanket primary
q_001110,normal aging
q_001111,north
q_001112,north korea
q_001113,north korea's
q_001114,north korean
q_001115,north korean nuclear
q_001116,nuclear
q_001117,nuclear arms race
q_001118,nuclear bomb
q_001119,nuclear disarmament
q_001120,nuclear explosion
q_001121,nuclear explosive devices
q_001122,nuclear material
q_001123,nuclear power
q_001124,nuclear power plant
q_001125,nuclear powers
q_001126,nuclear suppliers group
q_001127,nuclear technology
q_001128,nuclear terrorism
q_001129,nuclear test
q_001130,nuclear testing
q_001131,nuclear tests
q_001132,nuclear war
q_001133,nuclear weapon
q_001134,nuclear weapon design
q_001135,nuclear weapon states
q_001136,nuclear weapons
q_001137,nuclear weapons program
q_001138,nuclear weapons programs
q_001139,nuclear weapons states
q_001140,nuclear weapons tests
q_001141,number of candidates
q_001142,number of delegates
q_001143,number of rounds
q_001144,number of seats
q_001145,number of species
q_001146,number of students
q_001147,number of voters
q_001148,number of votes
q_001149,oath of allegiance
q_001150,obama
q_001151,observers
q_001152,odds
q_001153,official secrets act
q_001154,official unemployment rate
q_001155,officials
q_001156,offshore wind farm
q_001157,offshore wind farms
q_001158,offshore wind power
q_001159,ogallala
q_001160,ogallala aquifer
q_001161,oil
q_001162,oil and gas
q_001163,oil based lubricants
q_001164,oil production
q_001165,oil sands
q_001166,oil sands extraction
q_001167,older
q_001168,older adults
q_001169,older generation
q_001170,older patients
q_001171,older people
q_001172,olympic champion
q_001173,omnipotent
q_001174,omnipotent omniscient
q_001175,online
q_001176,online casinos
q_001177,online gambling
q_001178,online games
q_001179,online lotteries
q_001180,online poker
q_001181,open primary
q_001182,operations and maintenance
q_001183,opinion
q_001184,opinion poll
q_001185,opinion polls
q_001186,opinions
q_001187,opportunity
q_001188,opportunity cost
q_001189,opposition to god
q_001190,optimal design
q_001191,orderly default
q_001192,organisations include
q_001193,organization
q_001194,organize
q_001195,outer space
q_001196,output
q_001197,overpopulation
q_001198,ownership
q_001199,ownership of capital
q_001200,package
q_001201,paid
q_001202,paid work
q_001203,pakistan
q_001204,palin
q_001205,paradox of thrift
q_001206,paris convention
q_001207,parliamentary democracy
q_001208,parliamentary republic
q_001209,parties
q_001210,party
q_001211,party or candidate
q_001212,party talks
q_001213,passive bribery
q_001214,passport
q_001215,patent
q_001216,patent laws
q_001217,patent rights
q_001218,patents
q_001219,pathological gambling
q_001220,patronage
q_001221,paul vi
q_001222,payment processors
q_001223,payments
q_001224,peek a boo
q_001225,penalty for treason
q_001226,pension
q_001227,pension scheme
q_001228,pension schemes
q_001229,pentagon papers
q_001230,people
q_001231,people of burma
q_001232,people of color
q_001233,people with disabilities
q_001234,performance enhancing drugs
q_001235,performance enhancing substances
q_001236,performed
q_001237,periodic abstinence
q_001238,pesticides
q_001239,phase
q_001240,phone calls
q_001241,photo id
q_001242,photo identification
q_001243,pipe
q_001244,pipeline
q_001245,pipelines
q_001246,pius xii
q_001247,plan
q_001248,planned parenthood federation
q_001249,planning
q_001250,plant
q_001251,plants
q_001252,player
q_001253,playing video games
q_001254,plurality voting
q_001255,poker
q_001256,polar
q_001257,policy of deterrence
q_001258,political action committee
q_001259,political corruption
q_001260,political parties
q_001261,political prisoners
q_001262,politically incorrect
q_001263,poll
q_001264,poll results
q_001265,polling
q_001266,polling organizations
q_001267,polling places
q_001268,polls
q_001269,pollster
q_001270,pollsters
q_001271,pontifical council
q_001272,pope
q_001273,pope benedict xvi
q_001274,pope john
q_001275,pope john paul
q_001276,pope paul vi
q_001277,population
q_001278,population and development
q_001279,population control
q_001280,population control policies
q_001281,population density
q_001282,population growth
q_001283,pork barrel
q_001284,pork barrel spending
q_001285,pornography
q_001286,ports of entry
q_001287,possess nuclear weapons
q_001288,possibility of nuclear
q_001289,post secondary
q_001290,post traumatic amnesia
q_001291,power
q_001292,power stations
q_001293,powers
q_001294,pregnancy
q_001295,preimplantation genetic diagnosis
q_001296,prenatal diagnosis
q_001297,prenatal testing
q_001298,prerogative
q_001299,prescription
q_001300,president ronald reagan
q_001301,presidential election
q_001302,press freedom
q_001303,presymptomatic testing
q_001304,primary
q_001305,primary education
q_001306,primary school
q_001307,primary semi closed
q_001308,prime minister
q_001309,prime mover
q_001310,prince charles
q_001311,prince edward county
q_001312,prince or princess
q_001313,principles of democracy
q_001314,private
q_001315,private capital markets
q_001316,private education
q_001317,private gain
q_001318,private holders
q_001319,private property
q_001320,private schools
q_001321,private sector
q_001322,prize
q_001323,pro democracy
q_001324,problem
q_001325,problem gambling
q_001326,problem of evil
q_001327,product being transported
q_001328,production
q_001329,production of tobacco
q_001330,production tax credit
q_001331,professional boxing
q_001332,programme of action
q_001333,progress of science
q_001334,projects
q_001335,proliferation
q_001336,property
q_001337,property rights
q_001338,property systems
q_001339,proportional
q_001340,proportional representation
q_001341,prosecutions for treason
q_001342,protect the body
q_001343,protect the head
q_001344,protests
q_001345,provisional
q_001346,public debt
q_001347,public domain
q_001348,public education
q_001349,public employee unions
q_001350,public funds
q_001351,public health
q_001352,public housing
q_001353,public official
q_001354,public opinion
q_001355,public places
q_001356,public property
q_001357,public school
q_001358,public school students
q_001359,public school system
