query_id,doc_id,relevance,score,topic,term1,term2,relatedness_level
q_000104,d_000736,0.8,0.8,atheism is the only way,atheist,science,high
q_000105,d_000046,1.0,1.0,atheism is the only way,atheists,atheism,high
q_000106,d_000612,0.9,0.9,the use of performance enhancing drugs in professional sports should be permitted,athlete,performance enhancing drugs,high
q_000106,d_000654,1.0,1.0,the use of performance enhancing drugs in professional sports should be permitted,athlete,professional sports,high
q_000107,d_000612,1.0,1.0,the use of performance enhancing drugs in professional sports should be permitted,athletes,performance enhancing drugs,high
q_000107,d_000654,1.0,1.0,the use of performance enhancing drugs in professional sports should be permitted,athletes,professional sports,high
q_000108,d_000331,0.9,0.9,gambling should be banned,atlantic city,gambling,high
q_000109,d_000307,0.7,0.7,all nations have a right to nuclear weapons,atomic,fat man,high
q_000109,d_000553,1.0,1.0,all nations have a right to nuclear weapons,atomic,nuclear material,high
q_000109,d_000560,1.0,1.0,all nations have a right to nuclear weapons,atomic,nuclear weapons,high
q_000109,d_000915,0.7,0.7,all nations have a right to nuclear weapons,atomic,yield,high
q_000110,d_000441,0.9,0.9,all nations have a right to nuclear weapons,atomic bomb,kilotons of tnt,high
q_000110,d_000560,1.0,1.0,all nations have a right to nuclear weapons,atomic bomb,nuclear weapons,high
q_000110,d_000860,1.0,1.0,all nations have a right to nuclear weapons,atomic bomb,uranium enrichment,high
q_000111,d_000560,0.8,0.8,the us is justified in using force to prevent states from acquiring nuclear weapons,atomic energy,nuclear weapons,high
q_000113,d_000914,1.0,1.0,year round schooling should be introduced,attend year round,year round schooling,high
q_000114,d_000875,1.0,1.0,the sale of violent video games to minors should be banned,attorney jack thompson,violent video games,high
q_000116,d_000053,1.0,1.0,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,austerity measures,high
q_000116,d_000192,1.0,1.0,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,debts,high
q_000116,d_000249,1.0,1.0,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,economy,high
q_000116,d_000355,1.0,1.0,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,government deficit,high
q_000116,d_000774,0.7,0.7,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,social support,high
q_000116,d_000778,0.7,0.7,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,sovereign default,high
q_000116,d_000783,0.7,0.7,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,spending,high
q_000116,d_000844,0.8,0.8,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,troika,high
q_000117,d_000053,1.0,1.0,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,austerity measures,high
q_000117,d_000088,1.0,1.0,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,budget,high
q_000117,d_000249,1.0,1.0,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,economy,high
q_000117,d_000774,0.7,0.7,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,social support,high
q_000117,d_000778,0.7,0.7,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,sovereign default,high
q_000118,d_000053,1.0,1.0,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,austerity measures,high
q_000118,d_000192,1.0,1.0,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,debts,high
q_000118,d_000343,0.7,0.7,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,germany,high
q_000118,d_000355,0.8,0.8,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,government deficit,high
q_000118,d_000783,0.7,0.7,europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,spending,high
q_000120,d_000515,0.9,0.9,the monarchy should be abolished,australian republican movement,monarchy,high
q_000122,d_000095,0.8,0.8,open primaries are the most effective method of selecting candidates for elections,automatic ballot access,candidates,high
q_000122,d_000258,1.0,1.0,open primaries are the most effective method of selecting candidates for elections,automatic ballot access,elections,high
q_000122,d_000582,0.7,0.7,open primaries are the most effective method of selecting candidates for elections,automatic ballot access,open primaries,high
q_000124,d_000628,0.9,0.9,democratic governments should require voters to present photo identification at the polling station,ballot,polling station,high
q_000124,d_000880,0.9,0.9,democratic governments should require voters to present photo identification at the polling station,ballot,voters,high
q_000125,d_000628,0.8,0.8,democratic governments should require voters to present photo identification at the polling station,ballot paper,polling station,high
q_000125,d_000880,0.7,0.7,democratic governments should require voters to present photo identification at the polling station,ballot paper,voters,high
q_000126,d_000628,0.8,0.8,democratic governments should require voters to present photo identification at the polling station,ballot stuffing,polling station,high
q_000126,d_000880,0.8,0.8,democratic governments should require voters to present photo identification at the polling station,ballot stuffing,voters,high
q_000127,d_000585,0.8,0.8,opinion polls harm the democratic process,bandwagon effect,opinion polls,high
q_000131,d_000082,0.9,0.9,boxing should be banned,bare knuckle,boxing,high
q_000132,d_000140,1.0,1.0,all collective bargaining rights claimed by trades unions should be abolished,bargaining,collective bargaining rights,high
q_000133,d_000066,1.0,1.0,the catholic church is justified in forbidding the use of barrier methods of contraception,barrier methods,barrier methods of contraception,high
q_000135,d_000009,1.0,1.0,the use of affirmative action is justified,based on race,affirmative action,high
q_000135,d_000500,0.7,0.7,the use of affirmative action is justified,based on race,mexican american,high
q_000137,d_000038,0.8,0.8,atheism is the only way,belief in god,argument from nonbelief,high
q_000137,d_000046,1.0,1.0,atheism is the only way,belief in god,atheism,high
q_000138,d_000413,1.0,1.0,intellectual property rights should be abolished,berne convention,intellectual property rights,high
q_000139,d_000331,1.0,1.0,gambling should be banned,bet,gambling,high
q_000140,d_000330,0.9,0.9,gambling should be banned,bet or wager,gam anon,high
q_000140,d_000331,1.0,1.0,gambling should be banned,bet or wager,gambling,high
q_000140,d_000906,1.0,1.0,gambling should be banned,bet or wager,winnings,high
q_000141,d_000331,1.0,1.0,gambling should be banned,betting,gambling,high
q_000146,d_000323,0.8,0.8,it is sometimes right for the government to restrict freedom of speech,bill of rights,free speech fights,high
q_000146,d_000326,1.0,1.0,it is sometimes right for the government to restrict freedom of speech,bill of rights,freedom of speech,high
q_000146,d_000354,0.7,0.7,it is sometimes right for the government to restrict freedom of speech,bill of rights,government,high
q_000149,d_000166,0.7,0.7,endangered species should be protected,biodiversity,coral reefs,high
q_000149,d_000273,0.9,0.9,endangered species should be protected,biodiversity,endangered species,high
q_000150,d_000273,1.0,1.0,endangered species should be protected,biological diversity,endangered species,high
q_000150,d_000781,0.9,0.9,endangered species should be protected,biological diversity,species loss,high
q_000151,d_000378,0.7,0.7,parents should be allowed to genetically screen fetuses for heritable diseases,biopsy,heritable diseases,high
q_000151,d_000424,0.9,0.9,parents should be allowed to genetically screen fetuses for heritable diseases,biopsy,invasive procedure,high
q_000151,d_000830,0.8,0.8,parents should be allowed to genetically screen fetuses for heritable diseases,biopsy,test results,high
q_000152,d_000066,1.0,1.0,the catholic church is justified in forbidding the use of barrier methods of contraception,birth control,barrier methods of contraception,high
q_000152,d_000577,0.9,0.9,the one-child policy of china is justified,birth control,one child policy,high
q_000153,d_000125,0.9,0.9,parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,chromosomes,high
q_000153,d_000314,1.0,1.0,parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,fetuses,high
q_000153,d_000341,0.8,0.8,parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,genetic screening,high
q_000153,d_000378,1.0,1.0,parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,heritable diseases,high
q_000153,d_000637,1.0,1.0,parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,prenatal testing,high
q_000153,d_000737,1.0,1.0,parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,screening test,high
q_000153,d_000851,0.9,0.9,parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,ultrasound,high
q_000154,d_000439,1.0,1.0,the keystone xl pipeline should be built,bitumen,keystone xl pipeline,high
q_000155,d_000439,0.9,0.9,the keystone xl pipeline should be built,bituminous sands,keystone xl pipeline,high
q_000156,d_000009,0.8,0.8,the use of affirmative action is justified,black,affirmative action,high
q_000157,d_000009,0.9,0.9,the use of affirmative action is justified,black economic empowerment,affirmative action,high
q_000158,d_000560,1.0,1.0,all nations have a right to nuclear weapons,blast,nuclear weapons,high
q_000159,d_000108,1.0,1.0,google shouldn't censor its search results in china,block,censor,high
q_000159,d_000351,0.7,0.7,google shouldn't censor its search results in china,block,google,high
q_000159,d_000738,0.8,0.8,google shouldn't censor its search results in china,block,search results,high
q_000160,d_000076,1.0,1.0,google shouldn't censor its search results in china,blocked,block,high
q_000160,d_000108,0.9,0.9,google shouldn't censor its search results in china,blocked,censor,high
q_000160,d_000738,0.8,0.8,google shouldn't censor its search results in china,blocked,search results,high
q_000161,d_000250,1.0,1.0,education should be funded using a voucher scheme,board of education,education,high
q_000163,d_000077,0.9,0.9,the right to asylum should not be absolute,boat people,boat,high
q_000163,d_000714,0.8,0.8,the right to asylum should not be absolute,boat people,right to asylum,high
q_000165,d_000558,0.8,0.8,all nations have a right to nuclear weapons,bomb,nuclear tests,high
q_000165,d_000560,1.0,1.0,all nations have a right to nuclear weapons,bomb,nuclear weapons,high
q_000166,d_000560,1.0,1.0,the us is justified in using force to prevent states from acquiring nuclear weapons,bombs,nuclear weapons,high
q_000167,d_000714,0.7,0.7,the right to asylum should not be absolute,border control,right to asylum,high
q_000168,d_000082,1.0,1.0,boxing should be banned,bout,boxing,high
q_000169,d_000081,0.8,0.8,boxing should be banned,boxer,bout,high
q_000169,d_000082,1.0,1.0,boxing should be banned,boxer,boxing,high
q_000169,d_000171,1.0,1.0,boxing should be banned,boxer,counter punch,high
q_000169,d_000563,0.7,0.7,boxing should be banned,boxer,number of rounds,high
q_000170,d_000082,1.0,1.0,boxing should be banned,boxers,boxing,high
q_000170,d_000200,1.0,1.0,boxing should be banned,boxers,defensive style,high
q_000170,d_000317,1.0,1.0,boxing should be banned,boxers,fist,high
q_000170,d_000446,1.0,1.0,boxing should be banned,boxers,knockout,high
q_000170,d_000524,0.8,0.8,boxing should be banned,boxers,muay thai,high
q_000170,d_000653,1.0,1.0,boxing should be banned,boxers,professional boxing,high
q_000171,d_000082,1.0,1.0,boxing should be banned,boxing,boxing,high
q_000171,d_000799,0.9,0.9,boxing should be banned,boxing,straight punch thrown,high
q_000172,d_000082,1.0,1.0,boxing should be banned,brain injury,boxing,high
q_000173,d_000326,0.9,0.9,it is sometimes right for the government to restrict freedom of speech,brandenburg v ohio,freedom of speech,high
q_000174,d_000914,0.9,0.9,year round schooling should be introduced,break,year round schooling,high
q_000176,d_000914,0.7,0.7,year round schooling should be introduced,breaks,year round schooling,high
q_000177,d_000086,1.0,1.0,bribery is sometimes acceptable,bribe,bribery,high
q_000178,d_000086,1.0,1.0,bribery is sometimes acceptable,bribery,bribery,high
q_000179,d_000086,1.0,1.0,bribery is sometimes acceptable,bribes,bribery,high
q_000180,d_000128,0.8,0.8,states should not subsidize the growing of tobacco,british american tobacco,cigar smoking,high
q_000180,d_000365,1.0,1.0,states should not subsidize the growing of tobacco,british american tobacco,growing of tobacco,high
q_000180,d_000835,0.9,0.9,states should not subsidize the growing of tobacco,british american tobacco,tobacco product,high
q_000181,d_000515,1.0,1.0,the monarchy should be abolished,british monarch,monarchy,high
q_000184,d_000526,0.9,0.9,us should re-engage myanmar,buddhist monks,myanmar,high
q_000185,d_000053,0.8,0.8,europe should weaken its austerity measures to guarantee its citizens greater social support,budget,austerity measures,high
q_000186,d_000053,1.0,1.0,europe should weaken its austerity measures to guarantee its citizens greater social support,budget deficit,austerity measures,high
q_000187,d_000121,0.7,0.7,us should re-engage myanmar,burma,china and india,high
q_000187,d_000438,1.0,1.0,us should re-engage myanmar,burma,kenji nagai,high
q_000187,d_000526,1.0,1.0,us should re-engage myanmar,burma,myanmar,high
q_000187,d_000753,1.0,1.0,us should re-engage myanmar,burma,shan states,high
q_000187,d_000863,0.8,0.8,us should re-engage myanmar,burma,us,high
q_000188,d_000206,0.7,0.7,us should re-engage myanmar,burma campaign uk,democracy,high
q_000188,d_000526,1.0,1.0,us should re-engage myanmar,burma campaign uk,myanmar,high
q_000189,d_000395,0.8,0.8,us should re-engage myanmar,burma's,human rights abuses,high
q_000189,d_000526,0.9,0.9,us should re-engage myanmar,burma's,myanmar,high
q_000190,d_000526,0.9,0.9,us should re-engage myanmar,burmese,myanmar,high
q_000191,d_000437,0.7,0.7,us should re-engage myanmar,burmese government,kachin state,high
q_000191,d_000526,1.0,1.0,us should re-engage myanmar,burmese government,myanmar,high
q_000191,d_000775,0.9,0.9,us should re-engage myanmar,burmese government,southeast asia,high
q_000192,d_000526,0.9,0.9,us should re-engage myanmar,burmese military junta,myanmar,high
q_000192,d_000775,0.8,0.8,us should re-engage myanmar,burmese military junta,southeast asia,high
q_000193,d_000526,1.0,1.0,us should re-engage myanmar,burmese military regime,myanmar,high
q_000193,d_000697,0.9,0.9,us should re-engage myanmar,burmese military regime,regime,high
q_000193,d_000831,0.8,0.8,us should re-engage myanmar,burmese military regime,thein sein,high
q_000196,d_000066,0.9,0.9,the catholic church is justified in forbidding the use of barrier methods of contraception,calendar based methods,barrier methods of contraception,high
q_000198,d_000326,1.0,1.0,it is sometimes right for the government to restrict freedom of speech,canadian human rights,freedom of speech,high
q_000199,d_000439,1.0,1.0,the keystone xl pipeline should be built,canadian oil sands,keystone xl pipeline,high
q_000199,d_000652,0.7,0.7,the keystone xl pipeline should be built,canadian oil sands,production,high
q_000201,d_000032,0.8,0.8,states should not subsidize the growing of tobacco,cancer,anti smoking movement,high
q_000201,d_000128,0.8,0.8,states should not subsidize the growing of tobacco,cancer,cigar smoking,high
q_000202,d_000095,1.0,1.0,open primaries are the most effective method of selecting candidates for elections,candidate,candidates,high
q_000202,d_000148,0.8,0.8,open primaries are the most effective method of selecting candidates for elections,candidate,condorcet methods,high
q_000202,d_000210,0.8,0.8,opinion polls harm the democratic process,candidate,democratic process,high
q_000202,d_000257,0.9,0.9,opinion polls harm the democratic process,candidate,election results,high
q_000202,d_000258,1.0,1.0,open primaries are the most effective method of selecting candidates for elections,candidate,elections,high
q_000202,d_000544,0.9,0.9,open primaries are the most effective method of selecting candidates for elections,candidate,nomination,high
