topic,term1,term2,score,relatedness_level
a mandatory retirement age should be used,defined contribution plans,mandatory retirement age,0.3,low
a mandatory retirement age should be used,defined contribution plans,stereotypes,0.0,low
a mandatory retirement age should be used,defined contribution plans,successful ageing,0.0,low
a mandatory retirement age should be used,discrimination,ageist,1.0,high
a mandatory retirement age should be used,discrimination,mandatory retirement age,0.5,medium
a mandatory retirement age should be used,discrimination,younger adults,0.2,low
a mandatory retirement age should be used,effects of aging,cell,0.1,low
a mandatory retirement age should be used,effects of aging,cortex,0.2,low
a mandatory retirement age should be used,effects of aging,employment,0.3,low
a mandatory retirement age should be used,effects of aging,mandatory retirement age,0.7,high
a mandatory retirement age should be used,effects of aging,successful ageing,0.6,medium
a mandatory retirement age should be used,effects of aging,young,0.1,low
a mandatory retirement age should be used,employment,mandatory retirement age,0.9,high
a mandatory retirement age should be used,memory,ageist,0.1,low
a mandatory retirement age should be used,memory,contractions,0.0,low
a mandatory retirement age should be used,memory,cortex,0.7,high
a mandatory retirement age should be used,memory,mandatory retirement age,0.0,low
a mandatory retirement age should be used,memory,pension scheme,0.0,low
a mandatory retirement age should be used,memory,young,0.0,low
a mandatory retirement age should be used,memory issues,mandatory retirement age,0.3,low
a mandatory retirement age should be used,memory loss,mandatory retirement age,0.3,low
a mandatory retirement age should be used,mild cognitive impairment,cortex,0.8,high
a mandatory retirement age should be used,mild cognitive impairment,mandatory retirement age,0.1,low
a mandatory retirement age should be used,mild cognitive impairment,memory loss,1.0,high
a mandatory retirement age should be used,misrepair,mandatory retirement age,0.0,low
a mandatory retirement age should be used,motor units,mandatory retirement age,0.0,low
a mandatory retirement age should be used,muscle fibers,mandatory retirement age,0.0,low
a mandatory retirement age should be used,normal aging,mandatory retirement age,0.4,medium
a mandatory retirement age should be used,normal aging,pension schemes,0.4,medium
a mandatory retirement age should be used,normal aging,stereotypes,0.0,low
a mandatory retirement age should be used,older,cell,0.0,low
a mandatory retirement age should be used,older,contractions,0.0,low
a mandatory retirement age should be used,older,mandatory retirement age,0.6,medium
a mandatory retirement age should be used,older,young,0.5,medium
a mandatory retirement age should be used,older adults,mandatory retirement age,0.9,high
a mandatory retirement age should be used,older generation,mandatory retirement age,0.8,high
a mandatory retirement age should be used,older generation,misrepair,0.1,low
a mandatory retirement age should be used,older generation,pension scheme,0.9,high
a mandatory retirement age should be used,older generation,successful ageing,0.8,high
a mandatory retirement age should be used,older generation,younger adults,0.4,medium
a mandatory retirement age should be used,older patients,mandatory retirement age,0.1,low
a mandatory retirement age should be used,older people,mandatory retirement age,0.8,high
a mandatory retirement age should be used,older people,muscle fibers,0.2,low
a mandatory retirement age should be used,older people,older patients,0.8,high
a mandatory retirement age should be used,older people,young,0.5,medium
a mandatory retirement age should be used,pension,ageist,0.1,low
a mandatory retirement age should be used,pension,employment,0.8,high
a mandatory retirement age should be used,pension,mandatory retirement age,0.8,high
a mandatory retirement age should be used,pension,muscle fibers,0.0,low
a mandatory retirement age should be used,pension scheme,mandatory retirement age,0.6,medium
a mandatory retirement age should be used,pension schemes,mandatory retirement age,0.6,medium
a mandatory retirement age should be used,receptor,mandatory retirement age,0.0,low
a mandatory retirement age should be used,retirement,ageing results,0.5,medium
a mandatory retirement age should be used,retirement,mandatory retirement age,1.0,high
a mandatory retirement age should be used,retirement,receptor,0.0,low
a mandatory retirement age should be used,retirement plans,mandatory retirement age,0.8,high
a mandatory retirement age should be used,stereotypes,mandatory retirement age,0.2,low
a mandatory retirement age should be used,successful ageing,mandatory retirement age,0.4,medium
a mandatory retirement age should be used,telomerase,mandatory retirement age,0.0,low
a mandatory retirement age should be used,theory of ageing,contractions,0.0,low
a mandatory retirement age should be used,theory of ageing,mandatory retirement age,0.5,medium
a mandatory retirement age should be used,theory of ageing,motor units,0.1,low
a mandatory retirement age should be used,years of age,mandatory retirement age,0.5,medium
a mandatory retirement age should be used,years of age,motor units,0.1,low
a mandatory retirement age should be used,young,mandatory retirement age,0.0,low
a mandatory retirement age should be used,young adults,mandatory retirement age,0.0,low
a mandatory retirement age should be used,young adults,pension scheme,0.1,low
a mandatory retirement age should be used,younger adults,mandatory retirement age,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,american labor,collective bargaining rights,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,american labor,trades unions,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,anglo saxon system,collective bargaining rights,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,anglo saxon system,trades unions,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,bargaining,collective bargaining rights,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,bargaining,trades unions,0.6,medium
all collective bargaining rights claimed by trades unions should be abolished,child labour,american labor,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,child labour,anglo saxon system,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,child labour,collective bargaining rights,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,child labour,international labour office,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,child labour,skilled and unskilled,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,child labour,terms and conditions,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,child labour,trades unions,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,child labour,unskilled workers,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,collective,anglo saxon system,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,collective,collective bargaining rights,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,collective,decent work,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,collective,league of nations,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,collective,skilled,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,collective,trades unions,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,collective bargaining,collective bargaining rights,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,collective bargaining,delegates,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,collective bargaining,employers and workers,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,collective bargaining,international labour office,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,collective bargaining,labour relations,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,collective bargaining,league of nations,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,collective bargaining,skilled,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,collective bargaining,trades unions,0.8,high
all collective bargaining rights claimed by trades unions should be abolished,congress of industrial,anglo saxon system,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,congress of industrial,collective bargaining rights,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,congress of industrial,employers and workers,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,congress of industrial,labour relations,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,congress of industrial,trades unions,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,conventions,collective bargaining rights,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,conventions,trades unions,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,craft,collective bargaining rights,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,craft,labour relations,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,craft,organization,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,craft,trades unions,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,craft,union density,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,craft,union movement,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,craft union,collective bargaining rights,0.8,high
all collective bargaining rights claimed by trades unions should be abolished,craft union,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,craft unionism,collective bargaining rights,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,craft unionism,delegates,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,craft unionism,human rights held,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,craft unionism,industrial organizations,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,craft unionism,international labour office,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,craft unionism,terms and conditions,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,craft unionism,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,craft unions,american labor,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,craft unions,collective bargaining rights,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,craft unions,higher wages,0.6,medium
all collective bargaining rights claimed by trades unions should be abolished,craft unions,human rights held,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,craft unions,skilled workers,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,craft unions,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,decent work,collective bargaining rights,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,decent work,trades unions,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,delegates,collective bargaining rights,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,delegates,trades unions,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,employers,collective bargaining rights,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,employers,conventions,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,employers,decent work,0.6,medium
all collective bargaining rights claimed by trades unions should be abolished,employers,delegates,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,employers,gompers,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,employers,international labour office,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,employers,league of nations,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,employers,organize,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,employers,trades unions,0.6,medium
all collective bargaining rights claimed by trades unions should be abolished,employers and workers,collective bargaining rights,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,employers and workers,trades unions,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,freedom of association,anglo saxon system,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,freedom of association,collective bargaining rights,0.8,high
all collective bargaining rights claimed by trades unions should be abolished,freedom of association,higher wages,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,freedom of association,industrial organizations,0.6,medium
all collective bargaining rights claimed by trades unions should be abolished,freedom of association,organize,0.8,high
all collective bargaining rights claimed by trades unions should be abolished,freedom of association,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,gompers,collective bargaining rights,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,gompers,trades unions,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,group of workers,bargaining,0.6,medium
all collective bargaining rights claimed by trades unions should be abolished,group of workers,collective bargaining rights,0.8,high
all collective bargaining rights claimed by trades unions should be abolished,group of workers,delegates,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,group of workers,organize,0.8,high
all collective bargaining rights claimed by trades unions should be abolished,group of workers,skilled workers,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,group of workers,trades unions,0.8,high
all collective bargaining rights claimed by trades unions should be abolished,higher wages,collective bargaining rights,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,higher wages,trades unions,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,human rights held,collective bargaining rights,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,human rights held,trades unions,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,industrial,collective bargaining rights,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,industrial,labour relations,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,industrial,rank and file,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,industrial,trades unions,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,industrial,unskilled workers,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,industrial,working,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,industrial organizations,collective bargaining rights,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,industrial organizations,trades unions,0.8,high
all collective bargaining rights claimed by trades unions should be abolished,industrial union,collective bargaining rights,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,industrial union,gompers,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,industrial union,organize,0.6,medium
all collective bargaining rights claimed by trades unions should be abolished,industrial union,trades unions,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,industrial union,working,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,industrial unionism,collective bargaining rights,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,industrial unionism,craft union,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,industrial unionism,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,industrial unionism,unskilled workers,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,international labour,collective bargaining rights,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,international labour,trades unions,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,international labour conference,anglo saxon system,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,international labour conference,bargaining,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,international labour conference,collective bargaining rights,0.6,medium
all collective bargaining rights claimed by trades unions should be abolished,international labour conference,trades unions,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,international labour conference,working,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,international labour office,collective bargaining rights,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,international labour office,trades unions,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,international labour standards,collective bargaining rights,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,international labour standards,rank and file,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,international labour standards,trades unions,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,join a union,collective bargaining rights,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,join a union,craft union,0.8,high
all collective bargaining rights claimed by trades unions should be abolished,join a union,labour relations,0.6,medium
all collective bargaining rights claimed by trades unions should be abolished,join a union,league of nations,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,join a union,trades unions,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,join a union,unskilled workers,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,knights of labor,collective bargaining rights,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,knights of labor,delegates,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,knights of labor,terms and conditions,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,knights of labor,trades unions,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,labor,collective bargaining rights,0.8,high
all collective bargaining rights claimed by trades unions should be abolished,labor,delegates,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,labor,skilled,0.6,medium
all collective bargaining rights claimed by trades unions should be abolished,labor,trades unions,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,labour,collective bargaining rights,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,labour,delegates,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,labour,labour relations,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,labour,membership,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,labour,trades unions,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,labour relations,collective bargaining rights,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,labour relations,trades unions,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,league of nations,collective bargaining rights,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,league of nations,trades unions,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,members,collective bargaining rights,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,members,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,membership,collective bargaining rights,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,membership,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,organization,collective bargaining rights,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,organization,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,organize,collective bargaining rights,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,organize,trades unions,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,public employee unions,collective bargaining rights,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,public employee unions,craft union,0.8,high
all collective bargaining rights claimed by trades unions should be abolished,public employee unions,gompers,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,public employee unions,industrial organizations,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,public employee unions,international labour office,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,public employee unions,rank and file,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,public employee unions,trades unions,0.8,high
all collective bargaining rights claimed by trades unions should be abolished,public employee unions,working,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,rank and file,collective bargaining rights,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,rank and file,trades unions,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,revolutionary industrial unionism,collective bargaining rights,0.6,medium
all collective bargaining rights claimed by trades unions should be abolished,revolutionary industrial unionism,conventions,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,revolutionary industrial unionism,human rights held,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,revolutionary industrial unionism,membership,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,revolutionary industrial unionism,rank and file,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,revolutionary industrial unionism,trades unions,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,skilled,collective bargaining rights,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,skilled,trades unions,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,skilled and unskilled,collective bargaining rights,0.1,low
all collective bargaining rights claimed by trades unions should be abolished,skilled and unskilled,trades unions,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,skilled workers,collective bargaining rights,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,skilled workers,trades unions,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,terms and conditions,collective bargaining rights,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,terms and conditions,trades unions,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,trade union,collective bargaining rights,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,trade union,conventions,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,trade union,craft union,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,trade union,human rights held,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,trade union,industrial organizations,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,trade union,labour relations,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,trade union,terms and conditions,0.8,high
all collective bargaining rights claimed by trades unions should be abolished,trade union,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,trade union,union movement,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,trade union members,bargaining,0.6,medium
all collective bargaining rights claimed by trades unions should be abolished,trade union members,collective bargaining rights,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,trade union members,conventions,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,trade union members,gompers,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,trade union members,labour relations,0.6,medium
all collective bargaining rights claimed by trades unions should be abolished,trade union members,members,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,trade union members,terms and conditions,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,trade union members,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,trade unions,collective bargaining rights,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,trade unions,league of nations,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,trade unions,membership,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,trade unions,rank and file,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,trade unions,skilled and unskilled,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,trade unions,terms and conditions,0.6,medium
all collective bargaining rights claimed by trades unions should be abolished,trade unions,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,union,collective bargaining rights,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,union,conventions,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,union,craft union,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,union,labour relations,0.8,high
all collective bargaining rights claimed by trades unions should be abolished,union,rank and file,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,union,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,union density,collective bargaining rights,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,union density,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,union members,collective bargaining rights,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,union members,conventions,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,union members,delegates,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,union members,members,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,union members,membership,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,union members,organization,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,union members,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,union movement,collective bargaining rights,0.8,high
all collective bargaining rights claimed by trades unions should be abolished,union movement,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,unionism,bargaining,0.6,medium
all collective bargaining rights claimed by trades unions should be abolished,unionism,collective bargaining rights,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,unionism,membership,0.8,high
all collective bargaining rights claimed by trades unions should be abolished,unionism,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,unionism,unskilled workers,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,unionism,working,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,unions,collective bargaining rights,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,unions,conventions,0.6,medium
all collective bargaining rights claimed by trades unions should be abolished,unions,decent work,0.5,medium
all collective bargaining rights claimed by trades unions should be abolished,unions,human rights held,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,unions,trades unions,1.0,high
all collective bargaining rights claimed by trades unions should be abolished,unskilled workers,collective bargaining rights,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,unskilled workers,trades unions,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,workers,collective bargaining rights,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,workers,decent work,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,workers,delegates,0.3,low
all collective bargaining rights claimed by trades unions should be abolished,workers,human rights held,0.2,low
all collective bargaining rights claimed by trades unions should be abolished,workers,league of nations,0.0,low
all collective bargaining rights claimed by trades unions should be abolished,workers,terms and conditions,0.7,high
all collective bargaining rights claimed by trades unions should be abolished,workers,trades unions,0.9,high
all collective bargaining rights claimed by trades unions should be abolished,working,collective bargaining rights,0.4,medium
all collective bargaining rights claimed by trades unions should be abolished,working,trades unions,0.6,medium
all nations have a right to nuclear weapons,anti ballistic missile,nations,0.0,low
all nations have a right to nuclear weapons,anti ballistic missile,nuclear weapons,0.9,high
all nations have a right to nuclear weapons,anti nuclear,anti ballistic missile,0.3,low
all nations have a right to nuclear weapons,anti nuclear,energy,0.3,low
all nations have a right to nuclear weapons,anti nuclear,fat man,0.2,low
all nations have a right to nuclear weapons,anti nuclear,nations,0.2,low
all nations have a right to nuclear weapons,anti nuclear,nuclear bomb,1.0,high
all nations have a right to nuclear weapons,anti nuclear,nuclear weapons,1.0,high
all nations have a right to nuclear weapons,anti nuclear,proliferation,0.6,medium
all nations have a right to nuclear weapons,anti nuclear,uranium enrichment,0.3,low
all nations have a right to nuclear weapons,anti nuclear,warheads,0.4,medium
all nations have a right to nuclear weapons,anti nuclear groups,deterrence,0.3,low
all nations have a right to nuclear weapons,anti nuclear groups,developing nuclear weapons,0.9,high
all nations have a right to nuclear weapons,anti nuclear groups,nations,0.1,low
all nations have a right to nuclear weapons,anti nuclear groups,nuclear material,0.3,low
all nations have a right to nuclear weapons,anti nuclear groups,nuclear weapons,1.0,high
all nations have a right to nuclear weapons,atomic,anti ballistic missile,0.5,medium
all nations have a right to nuclear weapons,atomic,fat man,0.7,high
all nations have a right to nuclear weapons,atomic,nations,0.1,low
all nations have a right to nuclear weapons,atomic,north korea's,0.3,low
all nations have a right to nuclear weapons,atomic,nuclear material,1.0,high
all nations have a right to nuclear weapons,atomic,nuclear weapons,1.0,high
all nations have a right to nuclear weapons,atomic,yield,0.7,high
all nations have a right to nuclear weapons,atomic bomb,kilotons of tnt,0.9,high
all nations have a right to nuclear weapons,atomic bomb,national intelligence estimate,0.5,medium
all nations have a right to nuclear weapons,atomic bomb,nations,0.1,low
all nations have a right to nuclear weapons,atomic bomb,nuclear weapons,1.0,high
all nations have a right to nuclear weapons,atomic bomb,uranium enrichment,1.0,high
all nations have a right to nuclear weapons,atomic bomb,yield,0.5,medium
all nations have a right to nuclear weapons,blast,nations,0.0,low
all nations have a right to nuclear weapons,blast,nuclear weapons,1.0,high
all nations have a right to nuclear weapons,bomb,nations,0.1,low
all nations have a right to nuclear weapons,bomb,north,0.0,low
all nations have a right to nuclear weapons,bomb,nuclear tests,0.8,high
all nations have a right to nuclear weapons,bomb,nuclear weapons,1.0,high
